Country,Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Portugal,"Agriculture, forestry and fishing",2056300,1933000,1992600,2033800,2003400,2078100,2034600,2037500,2047500,2108462
Romania,"Agriculture, forestry and fishing",1233002,1351671,1214674,1294337,1468418,1276742,1246024,1417040,1503369,1578369
Slovenia,"Agriculture, forestry and fishing",258229,231875,234775,223067,234298,230183,240824,237988,237994,236257
Slovakia,"Agriculture, forestry and fishing",313333,294702,278003,231555,258964,269607,264463,234605,261907,264546
Finland,"Agriculture, forestry and fishing",2120554,2066817,2086739,1949751,1987176,2064600,1830800,1747470,1837644,1863052
Sweden,"Agriculture, forestry and fishing",2639029,2475428,2626006,2639302,2566277,2467695,2291857,2305308,2229509,2219584
United Kingdom,"Agriculture, forestry and fishing",7173786,7039255,7106721,7227006,7137056,6826040,7383119,7291168,7311344,7486269
Iceland,"Agriculture, forestry and fishing",529902,614482,551624,518330,505393,501083,462701,481085,453975,-1
Norway,"Agriculture, forestry and fishing",1848392,1988027,2045131,2063749,2168438,1918278,1681963,1624501,1674103,-1
Switzerland,"Agriculture, forestry and fishing",823204,886826,832100,836688,840605,894801,904151,982263,944745,-1
Serbia,"Agriculture, forestry and fishing",-1,-1,238084,261457,471543,479095,391195,-1,-1,-1
Turkey,"Agriculture, forestry and fishing",14418729,14179829,13965670,16051342,4418933,3821387,4499892,10241427,10677287,-1
EU28,Mining and quarrying,60651903,55306155,55203361,51852492,46368872,45311941,44994778,45770026,43968257,44527103
Belgium,Mining and quarrying,762981,612956,657104,708622,679232,610226,612695,420634,417766,424391
Bulgaria,Mining and quarrying,249724,269011,272657,204391,215412,192554,245876,244923,214764,225575
Czechia,Mining and quarrying,4463235,4102909,4291661,4230997,4209126,3976813,3944221,4019325,4118472,4048162
Denmark,Mining and quarrying,2129569,1900784,1998599,1803209,1768453,1703201,1675230,1751845,1650742,1688758
Germany,Mining and quarrying,8000430,6970359,6130793,7228821,3828489,3985659,3736566,3561163,3466452,3564714
Estonia,Mining and quarrying,121562,70450,73714,75575,128958,115008,92711,87033,90891,90696
Ireland,Mining and quarrying,387784,323615,268957,246297,234011,255865,264497,262117,302005,296478
Greece,Mining and quarrying,746911,401549,454522,394540,402541,204754,387550,375451,382793,385043
Spain,Mining and quarrying,5234642,4195347,4670358,2713210,2660819,2860719,2586663,1423446,1483704,1590717
France,Mining and quarrying,1578187,1415973,1268791,1205100,1182312,1038049,970267,1050699,1079522,1093528
Croatia,Mining and quarrying,1024428,1092639,1141787,983496,795014,778025,707720,566833,493806,492058
Italy,Mining and quarrying,2480844,2418422,2267116,2667938,2697349,2702785,2924652,2907403,2401045,2382676
Cyprus,Mining and quarrying,33169,28345,22390,29841,25517,11634,16078,12881,14334,14813
Latvia,Mining and quarrying,43233,31807,33592,40215,36671,54827,44055,41237,48815,51740
Lithuania,Mining and quarrying,14586,11098,11446,11124,9808,9439,9853,9315,9009,9320
Luxembourg,Mining and quarrying,4900,4300,4500,3000,4600,5600,6400,7800,7300,7481
Hungary,Mining and quarrying,680222,506647,495661,528355,467924,446027,431893,437228,451487,475145
Malta,Mining and quarrying,4323,2733,2558,2866,3141,2909,2854,2693,2627,2670
Netherlands,Mining and quarrying,2212475,2164806,2361020,2295826,2390305,2434089,2363289,2081603,1882655,1907074
Austria,Mining and quarrying,927246,888352,916240,988009,878692,870755,808323,789910,773885,798267
Poland,Mining and quarrying,2275617,1711968,1469037,1619094,1439019,1487947,1519505,2337492,1990310,2135063
Portugal,Mining and quarrying,360100,332400,323400,323200,263100,238200,237400,250500,237600,243966
Romania,Mining and quarrying,1519540,1158724,1151731,1140193,1123284,1062853,1041586,1094071,1019661,1068939
Slovenia,Mining and quarrying,116271,107848,115113,102066,97326,94448,80056,83427,84425,84222
Slovakia,Mining and quarrying,82161,76352,71474,72445,68552,63174,54123,57758,51783,53805
Finland,Mining and quarrying,343758,350909,453062,493406,469104,407148,428766,394598,420348,392530
Sweden,Mining and quarrying,1428609,1282923,1502986,1552070,1581432,1408780,1516889,1554557,1490874,1810346
United Kingdom,Mining and quarrying,23425396,22872931,22773093,20188584,18708681,18290455,18285060,19944081,19381182,19188926
Iceland,Mining and quarrying,946,724,729,700,744,775,780,1010,1131,-1
Norway,Mining and quarrying,14683085,13425141,13746389,13520143,13550263,13708749,14286694,14800076,14464656,-1
Switzerland,Mining and quarrying,76101,63708,66138,62797,63767,67911,67346,70020,73735,-1
Serbia,Mining and quarrying,-1,-1,3328466,3265786,1617938,2033703,1647263,-1,-1,-1
Turkey,Mining and quarrying,939954,1012663,1153606,1018145,986668,915575,849608,757595,778267,-1
EU28,Manufacturing,1017448818,852647587,905041122,886991270,848413791,826811457,824595666,823847967,810764146,824714518
Belgium,Manufacturing,42173516,31288311,35609775,34806156,32568060,33031449,32846414,32953585,33132426,33135138
Bulgaria,Manufacturing,9927126,6033616,6367113,6465421,5868027,5528605,5890077,6520360,6822003,7165423
Czechia,Manufacturing,26460900,22227164,20890222,19561615,18572568,18288847,18536263,17862231,17674937,17560744
Denmark,Manufacturing,6669308,5507455,5654657,5842273,5675063,5476393,5510064,5541980,5750520,5861505
Germany,Manufacturing,178892288,157092789,172116479,172325656,167813552,167498983,165932646,167566862,168939897,171390706
Estonia,Manufacturing,2565503,1569963,1344698,1773223,1820021,2004294,2451279,2354496,2411302,2580478
Ireland,Manufacturing,8607366,6505787,6316450,5558520,5916129,5954268,6440249,6808853,6502538,6558532
Greece,Manufacturing,15065467,12391017,12485858,9840576,10661751,12867977,13411061,12672615,13065651,13077591
Spain,Manufacturing,97198401,81844469,84231959,79835979,77291648,72982848,72200330,74757371,74823729,77752411
France,Manufacturing,115981416,97743337,103324806,99634282,94088031,93825462,91938192,90088490,86025207,88711118
Croatia,Manufacturing,5475620,4878166,4710939,4790345,4549345,4195444,4420046,4201311,3992961,4238641
Italy,Manufacturing,137594641,111819491,118451873,113997476,103225713,88147100,90878968,90187373,86716933,86053515
Cyprus,Manufacturing,1921447,1631096,1400750,1244118,1047452,1354266,1708414,1527198,1530311,1577531
Latvia,Manufacturing,1483123,1197754,1679668,1495153,1606239,1378106,1355730,1164528,989324,1122355
Lithuania,Manufacturing,5752614,4303914,4285751,5470961,5555355,5136007,4987013,5274141,5025924,5242402
Luxembourg,Manufacturing,1812394,1589468,1685761,1633444,1518070,1442511,1485134,1458591,1490817,1500330
Hungary,Manufacturing,11548603,9513722,9784122,9850906,9101189,9091520,9805221,10336190,10473962,11464513
Malta,Manufacturing,37359,25820,24472,26608,28346,26717,26351,23757,22892,24624
Netherlands,Manufacturing,46274917,42284723,45236921,44770104,43156473,42278920,41677100,42629227,43369503,44053738
Austria,Manufacturing,28217047,24793182,27325673,27174455,26615626,26666693,25941057,26672512,26382183,27695620
Poland,Manufacturing,63810306,55104853,59800877,63343430,62284547,60783416,60927645,60091248,60417660,61990363
Portugal,Manufacturing,18241000,15327300,16016500,14650800,13908000,15204300,15027400,15491800,14408800,15723929
Romania,Manufacturing,32447005,23588507,24378744,25428139,24772569,21707328,22989233,22802909,22142778,22719907
Slovenia,Manufacturing,3148385,2483773,2479558,2280935,2216088,2284340,2326014,2206971,2193701,2283182
Slovakia,Manufacturing,18029464,16398405,16880329,17702753,16138671,15936120,15755738,15604107,15796134,16180315
Finland,Manufacturing,17584811,14296000,16210147,15984795,14200343,13941454,12499491,12171024,12059791,11372949
Sweden,Manufacturing,16595957,13105720,15944945,15103133,14476059,13696488,13519095,13862889,13818511,13165524
United Kingdom,Manufacturing,103932831,88101783,90402076,86400013,83738853,86081603,84109444,81015349,74783753,74511434
Iceland,Manufacturing,1914647,1900811,1923182,1896538,1933399,1958133,1895848,1974690,1935982,-1
Norway,Manufacturing,12074100,10452835,11489822,11491262,11270618,11296340,10872482,11202540,11106298,-1
Switzerland,Manufacturing,9130290,8652943,8892519,8414800,8124496,8299865,7969925,7130212,7165044,-1
Serbia,Manufacturing,-1,-1,8759626,8922554,7145156,6461037,6004897,-1,-1,-1
Turkey,Manufacturing,83034820,82328081,94410337,102450557,107237178,105296422,106477418,113859866,121366777,-1
EU28,"Electricity, gas, steam and air conditioning supply",1371099205,1250207816,1283873566,1258323184,1260926817,1196518630,1112713121,1102915987,1055691273,1044927154
Belgium,"Electricity, gas, steam and air conditioning supply",20435111,20799076,21409841,18443956,18006154,16600665,15714691,16275339,15013927,15154841
Bulgaria,"Electricity, gas, steam and air conditioning supply",34167640,30745633,32537722,36668234,32219743,28207389,29896501,31420724,28224376,29645194
Czechia,"Electricity, gas, steam and air conditioning supply",55942547,52656395,56723861,55537319,52668206,49585978,48417766,47242204,48710401,48546506
Denmark,"Electricity, gas, steam and air conditioning supply",21033571,21068729,21035676,16875299,13642317,15865281,12286719,9426006,10732389,8340372
Germany,"Electricity, gas, steam and air conditioning supply",357436746,328534344,350751145,343522788,355925858,359012168,342397924,336489792,331064563,316961621
Estonia,"Electricity, gas, steam and air conditioning supply",12037283,9861097,14478188,14037259,12809172,14448965,13370382,10346098,11858425,12491888
Ireland,"Electricity, gas, steam and air conditioning supply",14005044,12466359,12745179,11403898,12135665,10736339,10553673,11113505,11844347,10946066
Greece,"Electricity, gas, steam and air conditioning supply",53883252,50680656,48318740,50459803,50902151,44100221,40446130,35493384,31311389,34450835
Spain,"Electricity, gas, steam and air conditioning supply",91897552,76347569,59685365,73144204,77983211,57830291,61748679,72280316,56947434,65624439
