Country,Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Italy,"Agriculture, forestry and fishing",767909.63,779760.99,761941.96,756147.39,753510.46,744729.83,735005.31,743702.71,759757.61,752134.69
Cyprus,"Agriculture, forestry and fishing",12524.83,12370.23,12684.19,12782.51,12010.89,11374.43,10998.92,11141.42,11923.95,11876.28
Latvia,"Agriculture, forestry and fishing",34890.64,34913.54,34629.48,34971.39,35741.2,37140.67,38471.87,38554.2,38676.28,37604.01
Lithuania,"Agriculture, forestry and fishing",80469.29,78776.19,77662.92,76801.37,76081.09,74860.02,76501.84,76761.79,73849.48,72221.44
Luxembourg,"Agriculture, forestry and fishing",18794.12,18871.42,19193.72,18647.41,18223.61,18656,19208.7,19743.61,20083.91,20396.15
Hungary,"Agriculture, forestry and fishing",100831.83,98210.38,97150.87,97271.72,100267.88,102170.08,105266.05,108802.96,109956.96,109724.62
Malta,"Agriculture, forestry and fishing",1488.55,1415.67,1364.01,1310.97,1345.46,1310.76,1306.13,1283.45,1278.46,1311.25
Netherlands,"Agriculture, forestry and fishing",505628.14,513192.25,517831.58,510772.4,506201.21,517350.43,515640.41,532838.73,546924.18,532108.11
Austria,"Agriculture, forestry and fishing",185496.06,187982.18,187552.04,185314.54,184162.07,184464.8,184955.58,184730.78,185371.12,185867.01
Poland,"Agriculture, forestry and fishing",581984.05,571142.11,572688.79,569647.15,567911.22,569990.07,574570.66,580725.32,574541.57,590835.62
Portugal,"Agriculture, forestry and fishing",179029.8,177490.6,175639.8,174235.1,173703,171693.7,172124.7,174911.1,178253.9,181828.61
Romania,"Agriculture, forestry and fishing",578146.99,559617.48,487312.38,486187.46,501558.41,496111.9,502452.06,511687.23,498285.92,480975.38
Slovenia,"Agriculture, forestry and fishing",47579.38,47044.29,46202.77,45990.1,45575.06,45186.72,46121,47569.69,48409.66,47552.13
Slovakia,"Agriculture, forestry and fishing",41015.3,39632.93,38995.95,38312.34,39808.84,39375.09,40014.59,39677.61,38676.76,38863.13
Finland,"Agriculture, forestry and fishing",99862.05,101329.49,103353.66,101716.7,101209.23,101199.88,102682.11,103841.97,103256.5,102041.84
Sweden,"Agriculture, forestry and fishing",135786.87,133317.3,133522.9,132466.99,131017.68,132001.19,132166.74,131520.81,131357.91,131355.23
United Kingdom,"Agriculture, forestry and fishing",1039422.41,1028632.92,1036268.31,1031082.98,1028117.48,1030519.72,1050318.95,1050279.69,1051615.93,1060013.52
Iceland,"Agriculture, forestry and fishing",13711.63,13885.5,13926.59,13928.47,13857.27,13501.89,14144.83,14361.45,14513.52,-1
Norway,"Agriculture, forestry and fishing",99729.08,101219.73,100527.79,97922.58,98375.14,99844.29,100352.9,101299.83,102978.83,-1
Switzerland,"Agriculture, forestry and fishing",168484.24,166211.26,165162.18,164895.25,164932.35,163485.08,164855.14,164354.4,162841.84,-1
